science,"Астрономы открыли второй повторяющийся ""радиосигнал пришельцев"" ","""До настоящего времени мы знали о существовании лишь одного подобного источника. Открытие второго повторяющегося сигнала говорит о том, что их должно быть много. Их обнаружение и изучение поможет нам раскрыть эту космическую загадку и узнать, откуда берутся эти всплески"", — заявила Ингрид Стэйрс (Ingrid Stairs) из университета Британской Колумбии в Ванкувере (Канада).Впервые о существовании таинственных вспышек радиоизлучения, FRB, астрономы заговорили в 2007 году, когда они были случайно открыты во время наблюдений за радиопульсарами при помощи телескопа Паркс (Австралия).В последующие годы ученым удалось найти следы еще девяти подобных всплесков, сравнение которых показало, что они могут носить искусственное происхождение и даже потенциально быть сигналами внеземных цивилизаций из-за необъяснимой периодичности в их структуре.Все их объединяла одна вещь – чрезвычайно большая мощность и необыкновенно большое расстояния до их источников. Поэтому изначально астрономы предполагали, что подобные всплески рождаются в ходе слияния нейтронных звезд или других компактных объектов, превращающихся в черную дыру.Два года назад ученые обнаружили, что это не так. Телескоп Паркс зафиксировал повторные вспышки в той точке, где шесть лет назад был зафиксирован один из первых всплесков, FRB 121102. В прошлом году CHIME открыл новый тип подобных сигналов, имевших необычайно низкую частоту. Это сделало ""сигналы инопланетян"" еще более загадочными и интересными.Стэйрс и ее коллеги продолжили наблюдения, и летом этого года CHIME удалось найти сразу 13 новых быстрых радиовсплесков на ""новой"" низкой частоте в 400 мегагерц. Эти наблюдения раскрыли несколько интересных деталей и принесли один большой сюрприз.Одна из новых вспышек, FRB 180814, открытая канадским телескопом в середине августа прошлого года, оказалась повторяющейся. В последующие два месяца астрономы зафиксировали сразу шесть новых  всплесков в этой же точке ночного неба в созвездии Жирафа, где она была зафиксирована впервые.Как и прочие ""радиосигналы инопланетян"", она возникла далеко за пределами нашей Галактики, на расстоянии примерно в 1,6 миллиарда световых лет. Необычная ""размазанность"" этой вспышки и некоторые другие ее особенности указывают на то, что она и часть одиночных FRB-всплесков, открытых CHIME, возникли внутри ""савана"" сверхновой или рядом с черной дырой.Несмотря на то, что она была поймана на другой частоте, структура FRB 180814 в целом почти неотличима от того, как выглядит FRB 121102. Стэйрс и ее коллеги и ее коллеги предполагают, что это свидетельствует в пользу схожего происхождения этих загадочных ""сигналов пришельцев"".Все эти вспышки, как подчеркивают ученые, были открыты CHIME еще до того, как он был полностью достроен. Они надеются, что полная версия этого телескопа сможет открыть несколько десятков ""кузин"" FRB 121102 и FRB 180814, и раскроет их природу."
science,"Солнце превратится в гигантский алмаз после смерти, заявляют ученые ","""Мы получили первые однозначные свидетельства того, что материя белых карликов постепенно кристаллизуется. Иными словами, они постепенно твердеют, и это происходит со всеми звездами этого типа. Это означает, что на небе действительно присутствуют миллионы хрустальных сфер!"", — заявил Пир-Эммануэль Тремблэй (Pier-Emmanuel Tremblay) из университета Уорика (Великобритания).Белыми карликами называют остатки старых ""выгоревших"" звезд небольшой массы, лишенных собственных источников энергии. Белые карлики возникают на конечной стадии эволюции звезд с массой, не превышающей солнечную более чем в 10 раз. В конечном счете, в белого карлика превратится и наше светило.Подобные ""мертвые звезды"" интересуют астрофизикам по нескольким причинам. Во-первых, они являются прародителями сверхновых первого типа, позволяющих очень точно оценивать расстояния в космосе, а во-вторых, они состоят из экзотической сверхплотной материи, свойства и структуру которой ученые пока не до конца понимают.К примеру, часть ученых считает, что белые карлики, как и породившие их ядра ""обычных"" звезд, представляют собой раскаленные шары из горячей плазмы, медленно остывающие на протяжении многих сотен миллионов лет. С другой стороны, еще полвека назад другие теоретики показали, что давления в их недрах настолько высоки, что при достаточно низких температурах белые карлики превращаются в гигантские кристаллы.Как отличить подобный ""небесный кристалл"" от обычной звезды? Все люди, изучавшие школьный курс физики, хорошо знают, что при превращении воды в лед или застывании расплавленного металла выделяется большое количество тепла. Нечто похожее происходит и внутри ""твердеющих"" белых карликов, благодаря чему они будут нагреваться и светиться ярче.Иными словами, кристаллизация будет ""омолаживать"" эти мертвые звезды примерно на миллиард лет. Это можно заметить, сопоставляя яркость их свечения и другие свойства, указывающие на их возраст, на которые этот процесс не влияет. Подобные наблюдения, как отмечает Тремблэй, стали возможными лишь недавно, когда в космос была выведена обсерватория GAIA, особый зонд-""звездочет"", способный одновременно точно измерять расстояние до миллиарда близлежащих звезд и замерять их спектр. Используя эту обсерваторию, ученые получили точные данные по возрасту, температуре и структуре спектра более 15 тысяч белых карликов, расположенных в 300 световых годах от Земли. Как оказалось, значительная часть мертвых светил в этом перечне имела ""неправильные"" массы и светимость, совпадающие с предсказаниями сторонников теории ""кристальных"" звезд.Что интересно, эти наблюдения раскрыли одну любопытную деталь, описывающую то, что ожидает Солнце и другие похожие на него звезды в далеком будущем. Как отмечает Тремблэй, ""отвердевшие"" белые карлики оказались необычайно яркими, что говорит об их необычной структуре и истории формирования.По словам астрофизиков, это объясняется тем, что процесс кристаллизации идет в несколько этапов. Когда температура падает до критически низкой отметки, металлы и кислород ""замерзают"", а углерод, гелий и водород остаются жидкими. Уже отвердевшая материя падает в центр белого карлика и ""выталкивает"" остальные атомы наверх.Это приводит к выделению дополнительных порций тепла, а также к тому, что белый карлик постепенно превращается в своеобразный слоеный ""алмаз"" с кислородно-металлическим ядром и ""корочкой"" из гелия или водорода. Примерно через 10 миллиардов лет, как прогнозируют авторы статьи, Солнце превратится в аналогичный драгоценный камень."
science,"Россия отстает от других стран по количеству ученых, заявил глава РАН ","На встрече обсуждались актуальные вопросы развития науки и научного сообщества, перспективные направления деятельности академии наук.""По количеству учёных обычно считается на 10 тысяч человек, у нас приблизительно около 50 таких исследователей"", - сказал Сергеев.По его словам, Россия по этому показателю существенно отстаёт от наукоориентированных стран.К тому же большое количество российских учёных находятся в предпенсионном возрасте, сказал Сергеев. Чтобы дефицит научных кадров в будущем не усугубился, академия наук одной из мер предлагает вывести некоторые школы из муниципального подчинения в областное, чтобы учителя при своей работе не ориентировалось на средний уровень.""Около 100 ведущих школ в стране, чтобы в них был организован, если хотите, специальный ""присмотр"". Школы будут перенесены из муниципального в губернское подчинение, для того чтобы областные министерства образования уделяли большое внимание именно этим школам"", - рассказал Сергеев о совместной инициативе РАН и министерства просвещения."
science,Россия и Китай планируют совместные глубоководные исследования,"На встрече обсуждались актуальные вопросы развития науки и научного сообщества, перспективные направления деятельности Академии наук.""Одно направление - это исследования глубоководных ресурсов морей. Где-то через 2-3 месяца будет первое рабочее совещание в Китае. Будут планироваться совместные проекты, в том числе и с совместными экспедициями"", — сказал Сергеев.Глава РАН рассказал, что с Китаем также обсуждается проект их участия в создании нескольких установок класса Megascience в России, а также российского участия в создании таких установок на территории Китая.""Речь идет об их программе термоядерных исследований и о программе создания сверхмощного лазера в Китае"", - добавил Сергеев."
science,РАН обсуждает создание своего представительства в Китае,"На встрече обсуждались актуальные вопросы развития науки и научного сообщества, перспективные направления деятельности академии наук.""Наш вопрос по организации представительства сейчас рассматривается в китайской академии наук, этот вопрос будет решен в ближайшее время"", - сказал Сергеев.При этом он напомнил, что соглашение о создании аналогичного представительства в стенах французской академии наук уже подписано."
science,С Байконура в конце года начнут запускать спутники OneWeb,"Arianespace предоставляет пусковые услуги с помощью ракет-носителей семейства Ariane, ""Союз"" и Vega.В пресс-релизе на сайте компании отмечается, что в этом году с космодрома Куру (Французская Гвиана) будет проведен первый пуск ракеты ""Союз"" со спутниками OneWeb, который ""проложит путь для предстоящих пусков с Байконура, начинающихся с последнего квартала 2019 года"".Ранее источник в ракетно-космической отрасли сообщил РИА Новости, что в 2019 году намечаются четыре пуска с космодрома Байконур по программе OneWeb: один - в третьем и три - в четвертом кварталах.Как сообщалось, в июне 2015 года Роскосмос подписал с французской компанией Arianespace и британской OneWeb контракт на 21 коммерческий запуск 672 спутников на ракетах-носителях ""Союз"" с космодромов Куру, Байконур и Восточный. Разработчиком и производителем ракет ""Союз"" является самарский РКЦ ""Прогресс"".OneWeb планирует создать группировку спутников, которая позволит обеспечить широкополосный доступ в интернет для пользователей по всему миру благодаря полному охвату поверхности Земли. В числе инвесторов на сайте OneWeb указаны Virgin Group, SoftBank, Airbus, Qualcomm, Coca-Cola.В прошлом году, по данным СМИ, выяснилось, что у компании появились проблемы с получением частот в России: против выделения выступили ФСБ и Роскомнадзор. Несмотря на это, глава ""Роскосмоса"" Дмитрий Рогозин заявлял, что сотрудничество его корпорации с OneWeb будет продолжено."
science,Опубликовано фото извержения вулкана на спутнике Юпитера,"Фотографии были сделаны 21 декабря. ""Юнона"" снимала поверхность Ио больше часа. Астрономы отмечают, что на поверхности спутника находится около 400 действующих вулканов.""Юнону"" запустили с мыса Канаверал в августе 2011 года. Пять лет спустя зонд вышел на стабильную орбиту вокруг Юпитера.Станция сближается с пятой от Солнца планетой один раз в 53 дня."
science,"Главная камера ""Хаббла"" временно вышла из строя, заявили в НАСА ","""Это происшествие напоминает нам о двух главных особенностях изучения космоса. Во-первых, ""Хаббл"" и другие космические аппараты работают так долго только благодаря блестящей команде инженеров. Во-вторых, все компоненты имеют ограниченный срок жизни, поэтому проблемы в их работе неизбежно должны возникать"", — прокомментировал поломку Томас Цурбухен (Thomas Zurbuchen), глава научного подразделения НАСА.Несмотря на почтенный возраст ""Хаббла"" – он работает в космосе уже почти 29 лет, камера WFC3 была установлена там относительно недавно. Она появилась на его борту почти десять лет назад, когда члены экипажа шаттла ""Атлантис"" провели последнее обновление всех инструментов и сервисных блоков телескопа.Установка этой камеры увеличила разрешающую способность ""Хаббла"", его чувствительность и ""глубину"" зрения в десятки раз в инфракрасном, оптическом и ультрафиолетовом диапазоне. Это позволило обсерватории получить тысячи сверхчетких фотографий объектов в нашей Галактике и в дальнем космосе.К примеру, WFC3 помогла ученым найти в 2011 и 2012 годах два ранее неизвестных спутника Плутона, Цербер и Стикс. Они были невидимы для ее предшественницы, камеры WFPC2, а также других обсерваторий Земли. Вдобавок, ""Хаббл"" помог другим телескопам открыть несколько близлежащих экзопланет и изучить состав их атмосферы.Эта поломка стала второй серьезной неполадкой в работе телескопа-ветерана за последний год. В октябре 2018 года ""Хаббл"" временно перешел в безопасный режим работы из-за сбоя в работе системы его ориентации. Один из трех гироскопов, помогающих телескопу ""смотреть"" в одном направлении, вышел из строя.В обычной ситуации это не было бы проблемой, однако неполадки были найдены и в работе резервного гироскопа. Через несколько недель экспериментов инженерам НАСА удалось выяснить, с чем были связаны проблемы в его работе, и обойти их.Все эти проблемы в очередной раз остро поставили вопрос того, когда будет запущена ""официальная"" замена ""Хаббла"", космическая обсерватория ""Джеймс Уэбб"", и будет ли его пуск удачным, учитывая огромную массу, сложность и историю этой миссии.Этот аппарат должен был быть отправлен в космос еще в 2014 году, однако задержки в сборке телескопа и непредвиденные проблемы отодвинули эту дату как минимум до 2021 года. Как отметил Алан Стерн, руководитель миссии New Horizons, ему часто снится один и тот же кошмар – неполадки при выходе ""Джеймса Уэбба"" на орбиту или взрыв ракеты на стартовой площадке."
science,"Рогозин заявил, что хотел бы видеть в НАСА предсказуемого партнера ","""Мы тоже заинтересованы в том, чтобы с американцами работать, однако хотим видеть в них предсказуемого партнера. В космос идти - это ведь как в разведку идти. Здесь абы с кем не пойдешь, а сейчас мы видим такие турбуленции очень странные, осадочек у нас остался"", - сказал Рогозин в эфире телеканала """
science,"Японские астрономы ""поселили"" Колобка на астероиде Рюгю ","""Тематически, все наши имена связаны с персонажами из фольклора и сказок разных народов Земли, как и само название астероида. Часть из них уже была официально одобрена Международным астрономическим союзом"", — сообщили в агентстве.Автоматическую станцию ""Хаябуса-2"" запустили в космос в декабре 2014 года для изучения и забора проб на астероиде Рюгю. Как надеются ученые, она привезет на Землю первые абсолютно чистые образцы первичной материи Солнечной системы. Японский аппарат достиг цели в начале июня прошлого года и начал длительную процедуру торможения и сближения с астероидом. Получив первые снимки и данные по устройству поверхности и недр Рюгю, зонд начал готовиться к процедуре по забору грунта. Помимо этого, ""Хаябуса-2"" доставила к астероиду три спускаемых аппарата – два японских ровера MINERVA-II1, аналоги которых были отправлены к астероиду Итокава вместе с ""Хаябусой-1"", а также европейский аппарат MASCOT. Роботы Rover-1A и Rover-1B были успешно сброшены на поверхность Рюгю в конце сентября, а MASCOT – сел на астероид в начале октября.Первые шаги по реализации главной задачи миссии, в том числе репетиция посадки ""Хаябусы-2"" на поверхность Рюгю, должны были начаться еще в начале октября 2018 года, однако JAXA, космическому агентству Японии, и ее партнерам пришлось сдвинуть эту дату ""как минимум"" на начало января в начале осени.Эта задержка связана с тем, что ученые не ожидали, что астероид будет усеян крупными булыжниками, потенциально способными повредить или уничтожить зонд при его сближении с поверхностью для сбора проб.Первый маневр, подготовивший зонд к проведению этой операции, специалисты JAXA уже провели в первых числах января. Пробные сближения, как отмечают пилоты миссии, произойдут в середине февраля, после чего руководство проекта выберет окончательную зону посадки и время забора грунта."
